string_4	string_3	string_2	string_1	inlay_dots	node	edge
8	3	10	5	    	()¦	    
9	4	11	6	     	  ¦	 ----
10	5	12	7	     	  ¦	 ----
11	6	1	8	  •  	  ¦	 ----
12	7	2	9	     	  ¦	 ----
1	8	3	10	  •  	  ¦	 ----
2	9	4	11	     	  ¦	 ----
3	10	5	12	  •  	  ¦	 ----
4	11	6	1	     	  ¦	 ----
5	12	7	2	     	  ¦	 ----
6	1	8	3	  •  	  ¦	 ----
7	2	9	4	     	  ¦	 ----
8	3	10	5	 •  •	  ¦	 ----
9	4	11	6	     	  ¦	 ----
10	5	12	7	     	  ¦	 ----
11	6	1	8	  •  	  ¦	 ----
